Ordine ,Tema,Ordine,Stilista ,uscita,richiedente
progr.,,quadro,,,
1,DUAL VISION,1,FEDERICA ZALETTI,,
2,DUAL VISION,2,FEDERICA ZALETTI,,
3,DUAL VISION,3,FEDERICA ZALETTI,,
4,DUAL VISION,4,FEDERICA ZALETTI,,
5,DUAL VISION,5,FEDERICA ZALETTI,,
6,DUAL VISION,6,FEDERICA ZALETTI,,
7,LIBERTA' DI CAMMINARE…,1,GRETA MORONI,,
8,LIBERTA' DI CAMMINARE…,2,GRETA MORONI,,
9,LIBERTA' DI CAMMINARE…,3,GRETA MORONI,,
10,LIBERTA' DI CAMMINARE…,4,GRETA MORONI,,
11,LIBERTA' DI CAMMINARE…,5,GRETA MORONI,,
12,LIBERTA' DI CAMMINARE…,6,GRETA MORONI,,
13,ANEMIC FREAK,1,FILIPPO TODISCO,,
14,ANEMIC FREAK,"Lkkl,.",FILIPPO TODISCO,,
15,ANEMIC FREAK,3,FILIPPO TODISCO,,
16,ANEMIC FREAK,4,FILIPPO TODISCO,,
17,ANEMIC FREAK,5,FILIPPO TODISCO,,
18,ANEMIC FREAK,6,FILIPPO TODISCO,,
19,SEGNO GRAFICO,1,SILVIA RAMPONI ,,
20,SEGNO GRAFICO,2,SILVIA RAMPONI ,,
21,SEGNO GRAFICO,3,VALERIA PIAZZA,,
22,SEGNO GRAFICO,4,VALERIA PIAZZA,,
23,SEGNO GRAFICO,5,MARTINA REBORA ,,
24,SEGNO GRAFICO,6,MARTINA REBORA ,,
25,SEGNO GRAFICO,7,ANNA SALVIGNI ,,
26,SEGNO GRAFICO,8,ANNA SALVIGNI ,,
27,SEGNO GRAFICO,9,LUNA ZAFFINO ,,
28,SEGNO GRAFICO,10,LUNA ZAFFINO,,
29,SEGNO GRAFICO,11,GIULIA MARTERA ,,
30,SEGNO GRAFICO,12,GIULIA MARTERA,,
31,SEGNO GRAFICO,13,BENEDETTA TENAN ,,
32,SEGNO GRAFICO,14,BENEDETTA TENAN,,
33,SEGNO GRAFICO,1,ENRICA DE SANTIS ,17/07/2018,chiara
34,SEGNO GRAFICO,2,ENRICA DE SANTIS ,,
35,SEGNO GRAFICO,3,CATALINA CIOCAN ,,
36,SEGNO GRAFICO,4,CATALINA CIOCAN ,,
37,SEGNO GRAFICO,5,LIJIA ZHENG ,,
38,SEGNO GRAFICO,6,LIJIA ZHENG ,,
39,SEGNO GRAFICO,7,SARA BANFI ,,
40,SEGNO GRAFICO,8,SARA BANFI,,
41,SEGNO GRAFICO,9,WEIYE HE ,,
42,SEGNO GRAFICO,10,WEIYE HE ,,
43,SEGNO GRAFICO,11,LAURA LINETTI,,
44,SEGNO GRAFICO,12,LAURA LINETTI,,
45,IL SEGNO OLTRE IL CORPO,1,TINGTING YANG ,,
46,IL SEGNO OLTRE IL CORPO,2,TINGTING YANG ,,
47,IL SEGNO OLTRE IL CORPO,3,YANGLONG ZHANG ,,
48,IL SEGNO OLTRE IL CORPO,4,YANGLONG ZHANG ,,
49,IL SEGNO OLTRE IL CORPO,5,RICCARDO REDAELLI,,
50,IL SEGNO OLTRE IL CORPO,6,RICCARDO REDAELLI,,
51,IL COLORE COME SEGNO,1,CHIARA SORTINO ,,
52,IL COLORE COME SEGNO,2,CHIARA SORTINO ,,
53,IL COLORE COME SEGNO,3,GIULIA FAVERO ,,
54,IL COLORE COME SEGNO,4,GIULIA FAVERO,,
55,IL COLORE COME SEGNO,5,ANTONELLA PRATO ,,
56,IL COLORE COME SEGNO,6,ANTONELLA PRATO,,
57,IL COLORE COME SEGNO,7,XINYA LI ,,
58,IL COLORE COME SEGNO,8,XINYA LI ,,
59,IL COLORE COME SEGNO,9,ALESSANDRA BURTI ,,
60,IL COLORE COME SEGNO,10,ALESSANDRA BURTI,,
61,IL COLORE COME SEGNO,11,SHUXIN LIN ,,
62,IL COLORE COME SEGNO,12,SHUXIN LIN,,
63,IL COLORE COME SEGNO,1,FABIANA CALVO ,,
64,IL COLORE COME SEGNO,2,FABIANA CALVO,,
65,IL COLORE COME SEGNO,3,CATERINA PASTORE ,,
66,IL COLORE COME SEGNO,4,CATERINA PASTORE ,,
67,IL COLORE COME SEGNO,5,ADRIANA PIANA,,
68,IL COLORE COME SEGNO,6,ADRIANA PIANA,,
69,IL COLORE COME SEGNO,7,XUAN LUO ,,
70,IL COLORE COME SEGNO,8,XUAN LUO,,
71,IL CORPO COME SEGNO,1,JUNHYUN KIM ,,
72,IL CORPO COME SEGNO,2,SUHO SEOK ,,
73,IL CORPO COME SEGNO,3,YU ZHANG ,,
74,IL CORPO COME SEGNO,4,ZEQI PENG ,,
75,IL CORPO COME SEGNO,5,YAXUAN SONG ,,
76,IL CORPO COME SEGNO,6,BEATRICE CASALINI ,,
77,IL CORPO COME SEGNO,7,TONGCHAO LIANG ,,
78,IL CORPO COME SEGNO,1,LINRUI LI ,,
79,IL CORPO COME SEGNO,2,SIYU WANG ,,
80,IL CORPO COME SEGNO,3,LIN YANG ,,
81,IL CORPO COME SEGNO,4,CLARA LIONIE RODRIGUES MOREIRA ,,
82,IL CORPO COME SEGNO,5,SOFIA AGNOLETTI ,,
83,IL CORPO COME SEGNO,6,FEDERICA GARBELLI ,,
84,TRA CORPO E NATURA,1,YUANTING ZHANG ,,
85,TRA CORPO E NATURA,2,YUANTING ZHANG ,,
86,TRA CORPO E NATURA,3,LIXING ZHU ,,
87,TRA CORPO E NATURA,4,LIXING ZHU ,,
88,TRA CORPO E NATURA,5,XI GU ,,
89,TRA CORPO E NATURA,6,XI GU,,
90,TRA CORPO E NATURA,7,SHAILA PRIMERANO ,,
91,TRA CORPO E NATURA,8,SHAILA PRIMERANO ,,
92,TRA CORPO E NATURA,9,SARA MATTELLONI ,,
93,TRA CORPO E NATURA,10,SARA MATTELLONI ,,
94,TRA CORPO E NATURA,1,SOFIA CONFORTOLA ,,
95,TRA CORPO E NATURA,2,SOFIA CONFORTOLA,,
96,TRA CORPO E NATURA,3,ALICE COSTA,,
97,TRA CORPO E NATURA,4,ALICE COSTA,,
98,TRA CORPO E NATURA,5,FRANCESCA BANDERA ,,
99,TRA CORPO E NATURA,6,FRANCESCA BANDERA ,,
100,TRA CORPO E NATURA,7,SILVIA PASQUAL ,,
101,TRA CORPO E NATURA,8,SILVIA PASQUAL ,,
102,TRA CORPO E NATURA,9,ELISA RADAELLI ,,
103,TRA CORPO E NATURA,10,ELISA RADAELLI ,,
104,TRA CORPO E NATURA,11,DEBORA ZIGGIOTTO ,,
105,TRA CORPO E NATURA,12,DEBORA ZIGGIOTTO ,,
,,,,,
,,,,,
,,,Non presenti a magazzino,,
,,,consegnati,,
